iter	Passed	Remaining
648	832	450
649	834	449
650	838	449
651	839	447
652	840	446
653	841	444
654	841	443
655	842	441
656	843	440
657	844	438
658	845	437
659	847	436
660	848	435
661	853	435
662	854	434
663	856	433
664	857	432
665	858	430
666	859	429
667	860	427
668	861	426
669	862	424
670	863	423
671	865	422
672	868	421
673	869	420
674	870	419
675	871	417
676	872	416
677	873	414
678	874	413
679	874	411
680	875	410
681	876	408
682	879	408
683	881	407
684	882	405
685	883	404
686	884	402
687	885	401
688	886	399
689	886	398
690	887	396
691	888	395
692	888	393
693	889	392
694	890	390
695	892	389
696	895	389
697	897	388
698	898	386
699	898	385
700	899	383
701	900	382
702	901	380
703	901	379
704	902	377
705	903	376
706	905	375
707	910	375
708	912	374
709	913	373
710	914	371
711	915	370
712	916	368
713	916	367
714	917	365
715	918	364
716	919	362
717	921	362
718	926	361
719	927	360
720	928	359
721	928	357
722	929	356
723	930	354
724	931	353
725	932	351
726	932	350
727	933	348
728	935	347
729	939	347
730	941	346
731	943	345
732	944	343
733	944	342
734	945	340
735	946	339
736	947	338
737	948	336
738	949	335
739	953	334
740	955	333
741	956	332
742	957	331
743	959	330
744	960	328
745	962	327
746	965	327
747	967	326
748	969	325
749	971	323
750	973	322
751	974	321
752	975	320
753	976	318
754	978	317
755	981	316
756	982	315
757	983	314
758	985	312
759	985	311
760	987	310
761	988	308
762	989	307
763	990	306
764	992	304
765	994	303
766	997	302
767	998	301
768	999	300
769	1000	298
770	1002	297
771	1003	296
772	1005	295
773	1010	295
774	1013	294
775	1015	292
776	1016	291
777	1016	290
778	1023	290
779	1025	289
780	1026	287
781	1028	286
782	1028	285
783	1029	283
784	1030	282
785	1031	280
786	1032	279
787	1033	277
788	1036	277
789	1040	276
790	1041	275
791	1042	273
792	1043	272
793	1044	271
794	1045	269
795	1046	268
796	1047	266
797	1049	265
798	1050	264
799	1053	263
800	1055	262
801	1056	260
802	1057	259
803	1057	257
804	1058	256
805	1059	255
806	1060	253
807	1061	252
808	1062	250
809	1063	249
810	1064	248
811	1066	246
812	1067	245
813	1068	244
814	1068	242
815	1069	241
816	1070	239
817	1071	238
818	1072	236
819	1072	235
820	1073	234
821	1074	232
822	1075	231
823	1076	229
824	1077	228
825	1081	227
826	1082	226
827	1084	225
828	1085	223
829	1086	222
830	1087	221
831	1087	219
832	1088	218
833	1089	216
834	1090	215
835	1091	214
836	1092	212
837	1093	211
838	1095	210
839	1095	208
840	1096	207
841	1097	205
842	1098	204
843	1099	203
844	1100	201
845	1101	200
846	1101	199
847	1102	197
848	1103	196
849	1104	194
850	1105	193
851	1105	192
852	1106	190
853	1107	189
854	1109	188
855	1110	186
856	1110	185
857	1112	184
858	1112	182
859	1113	181
860	1114	179
861	1115	178
862	1116	177
863	1116	175
864	1117	174
865	1118	173
866	1119	171
867	1120	170
868	1121	169
869	1122	167
870	1123	166
871	1124	165
872	1125	163
873	1126	162
874	1127	161
875	1128	159
876	1129	158
877	1129	157
878	1130	155
879	1131	154
880	1132	152
